JAR,StartTime,EndTime,Duration(ms),MemBefore(MB),MemAfter(MB),MemUsed(MB)
HelloWorld.jar,2025-07-28 19:49:42,2025-07-28 19:49:42,44,2671,2672,1
hello2.jar,2025-07-28 19:49:42,2025-07-28 19:49:42,59,2672,2684,12
